pedido_id,data_pedido,produto,categoria,uf,canal,quantidade,preco_unitario,desconto_pct,valor_total,cliente_recorrente,avaliacao
PED-100640,15/08/2025,Mouse Sem Fio,Periféricos,SP,Loja Física,1,"R$ 153,82","5,9%","R$ 167,91",sim,3.0
PED-100641,27/09/2025,Notebook Pro,Computadores,SC,Televendas,1,"R$ 7.390,37","7,0%","R$ 7.342,55",sim,2.0
PED-100642,23/03/2024,Mouse Sem Fio,Periféricos,BA,Marketplace,1,"R$ 209,60","3,6%","R$ 248,21",nao,5.0
PED-100643,04/04/2024,Notebook Pro,Computadores,RS,Televendas,2,"R$ 7.264,76","9,3%","R$ 16.840,22",sim,3.0
PED-100644,04/08/2024,"Monitor 27""",Periféricos,RS,Marketplace,3,"R$ 1.473,42","8,4%","R$ 2.323,61",sim,3.0
PED-100645,01/04/2025,Mouse Sem Fio,Periféricos,SC,Televendas,3,"R$ 167,97","4,7%","R$ 726,37",nao,4.0
PED-100646,06/08/2025,Headset,Áudio,SP,Marketplace,1,"R$ 344,57","8,7%","R$ 365,19",sim,1.0
PED-100647,12/06/2025,Mouse Sem Fio,Periféricos,RJ,Loja Física,1,"R$ 179,85","0,0%","R$ 253,94",sim,4.0
PED-100648,27/08/2024,Mouse Sem Fio,Periféricos,BA,E-commerce,2,"R$ 183,36","5,7%","R$ 198,45",sim,5.0
PED-100649,12/08/2025,Headset,Áudio,SP,Marketplace,4,"R$ 346,25","7,5%","R$ 1.486,77",nao,2.0
PED-100650,13/06/2024,Webcam HD,Áudio,MG,Televendas,3,"R$ 294,73","10,3%","R$ 950,80",nao,1.0
PED-100651,19/03/2024,Teclado Mecânico,Periféricos,MG,Loja Física,2,"R$ 419,11","6,0%","R$ 967,94",sim,2.0
PED-100652,05/10/2024,Mesa Ajustável,Mobiliário,PE,Marketplace,3,"R$ 2.461,97","8,4%","R$ 6.039,68",sim,1.0
PED-100653,28/02/2024,Webcam HD,Áudio,RS,Televendas,3,"R$ 308,70","5,5%","R$ 987,19",sim,2.0
PED-100654,10/03/2025,Teclado Mecânico,Periféricos,RS,Marketplace,2,"R$ 403,07","0,2%","R$ 1.172,25",nao,5.0
PED-100655,24/09/2025,Notebook Pro,Computadores,PR,Marketplace,2,"R$ 6.864,85","6,3%","R$ 13.739,35",sim,5.0
PED-100656,09/03/2024,Notebook Pro,Computadores,RS,E-commerce,4,"R$ 6.480,40","14,9%","R$ 27.094,05",sim,5.0
PED-100657,15/03/2024,Mouse Sem Fio,Periféricos,RS,Televendas,1,"R$ 185,79","12,9%","R$ 198,89",nao,3.0
PED-100658,24/04/2024,Mouse Sem Fio,Periféricos,SP,Marketplace,4,"R$ 176,50","5,5%","R$ 852,81",sim,2.0
PED-100659,23/04/2024,Cadeira Ergo,Mobiliário,SP,E-commerce,2,"R$ 1.714,81","18,1%","R$ 3.591,47",sim,2.0
PED-100660,08/12/2024,Teclado Mecânico,Periféricos,RS,Marketplace,5,"R$ 400,82","13,1%","R$ 1.823,00",sim,1.0
PED-100661,02/01/2025,Webcam HD,Áudio,SP,Loja Física,2,"R$ 281,37","5,5%","R$ 633,65",sim,1.0
PED-100662,31/08/2025,Cadeira Ergo,Mobiliário,BA,E-commerce,4,"R$ 1.718,93","1,3%","R$ 7.877,40",sim,2.0
PED-100663,12/10/2024,Notebook Pro,Computadores,SP,E-commerce,3,"R$ 6.972,63","3,4%","R$ 18.027,62",nao,3.0
PED-100664,16/08/2025,Webcam HD,Áudio,CE,Televendas,1,"R$ 294,72","0,0%","R$ 342,04",sim,4.0
PED-100665,25/04/2025,"Monitor 27""",Periféricos,SP,Televendas,5,"R$ 1.441,49","1,1%","R$ 10.782,60",sim,2.0
PED-100666,01/07/2025,"Monitor 27""",Periféricos,MG,Marketplace,3,"R$ 1.487,95","11,4%","R$ 5.094,13",sim,5.0
PED-100667,01/05/2024,Mouse Sem Fio,Periféricos,SP,E-commerce,4,"R$ 192,73","0,0%","R$ 976,55",nao,4.0
PED-100668,17/10/2024,Cadeira Ergo,Mobiliário,RS,Loja Física,3,"R$ 2.057,03","19,0%","R$ 4.458,68",sim,5.0
PED-100669,08/08/2025,Teclado Mecânico,Periféricos,SP,Marketplace,1,"R$ 405,47","3,4%","R$ 454,54",sim,2.0
PED-100670,25/04/2025,Mouse Sem Fio,Periféricos,BA,Loja Física,3,"R$ 172,90","11,4%","R$ 694,89",sim,1.0
PED-100671,19/05/2024,Headset,Áudio,GO,Marketplace,2,"R$ 325,87","13,8%","R$ 711,29",sim,2.0
PED-100672,25/06/2025,Notebook Pro,Computadores,RJ,E-commerce,2,"R$ 5.865,00","4,3%","R$ 15.855,77",sim,3.0
PED-100673,07/05/2025,Mesa Ajustável,Mobiliário,SP,E-commerce,1,"R$ 2.514,47","7,5%","R$ 3.478,54",sim,3.0
PED-100674,03/04/2024,Teclado Mecânico,Periféricos,MG,Marketplace,5,"R$ 385,15","9,0%","R$ 2.241,48",sim,5.0
PED-100675,13/02/2024,Mouse Sem Fio,Periféricos,PR,Marketplace,2,"R$ 172,37","0,0%","R$ 388,78",nao,2.0
PED-100676,14/06/2024,Mesa Ajustável,Mobiliário,PR,E-commerce,2,"R$ 2.243,30","9,4%","R$ 4.872,82",sim,5.0
PED-100677,29/10/2024,Webcam HD,Áudio,PE,Marketplace,2,"R$ 304,63","15,9%","R$ 457,47",sim,4.0
PED-100678,08/04/2024,Cadeira Ergo,Mobiliário,RS,E-commerce,4,"R$ 1.934,19","12,5%","R$ 8.651,41",sim,1.0
PED-100679,21/01/2024,Mesa Ajustável,Mobiliário,MG,Televendas,1,"R$ 2.444,64","12,5%","R$ 2.138,15",sim,5.0
PED-100680,11/03/2024,Mesa Ajustável,Mobiliário,PE,Loja Física,2,"R$ 2.256,70","4,9%","R$ 5.271,16",sim,4.0
PED-100681,19/07/2024,Notebook Pro,Computadores,SP,Televendas,1,"R$ 6.759,37","4,8%","R$ 7.051,85",nao,5.0
PED-100682,06/09/2024,Mouse Sem Fio,Periféricos,SC,E-commerce,2,"R$ 180,17","5,4%","R$ 311,32",sim,2.0
PED-100683,18/07/2024,Mouse Sem Fio,Periféricos,GO,E-commerce,1,"R$ 187,80","8,4%","R$ 188,51",nao,1.0
PED-100684,13/10/2024,Webcam HD,Áudio,SP,Loja Física,4,"R$ 271,80","11,3%","R$ 860,99",sim,5.0
PED-100685,05/04/2025,"Monitor 27""",Periféricos,SP,Televendas,3,"R$ 1.349,42","13,6%","R$ 5.288,73",sim,2.0
PED-100686,07/06/2024,"Monitor 27""",Periféricos,MG,Televendas,3,"R$ 1.420,82","5,7%","R$ 4.819,33",sim,5.0
PED-100687,18/10/2024,Webcam HD,Áudio,PE,Loja Física,3,"R$ 293,59","7,3%","R$ 728,49",sim,4.0
PED-100688,11/04/2025,"Monitor 27""",Periféricos,SC,Marketplace,3,"R$ 1.485,44","13,4%","R$ 5.839,73",sim,4.0
PED-100689,06/02/2024,Webcam HD,Áudio,RS,Loja Física,1,"R$ 288,84","10,2%","R$ 292,38",nao,3.0
PED-100690,24/08/2025,Notebook Pro,Computadores,GO,Loja Física,7,"R$ 6.671,77","9,0%","R$ 49.343,47",nao,2.0
PED-100691,29/09/2025,Mesa Ajustável,Mobiliário,SP,Loja Física,2,"R$ 2.653,21","8,0%","R$ 5.215,12",sim,1.0
PED-100692,04/07/2024,Teclado Mecânico,Periféricos,BA,Marketplace,2,"R$ 384,60","13,2%","R$ 731,79",sim,5.0
PED-100693,22/07/2025,Cadeira Ergo,Mobiliário,RJ,Loja Física,2,"R$ 1.808,50","10,0%","R$ 4.193,35",sim,5.0
PED-100694,10/06/2024,Notebook Pro,Computadores,RJ,Marketplace,1,"R$ 6.591,48","2,8%","R$ 7.680,12",nao,2.0
PED-100695,09/08/2025,Headset,Áudio,RJ,Marketplace,2,"R$ 354,06","0,0%","R$ 821,81",sim,3.0
PED-100696,26/02/2025,Headset,Áudio,RS,Televendas,3,"R$ 323,93","12,5%","R$ 1.139,71",sim,3.0
PED-100697,06/06/2024,Webcam HD,Áudio,SC,Televendas,3,"R$ 277,32","9,9%","R$ 898,11",sim,2.0
PED-100698,09/02/2024,"Monitor 27""",Periféricos,SP,Loja Física,2,"R$ 1.294,42","5,3%","R$ 2.763,90",nao,1.0
PED-100699,09/09/2024,Notebook Pro,Computadores,SP,Loja Física,2,"R$ 6.961,73","9,5%","R$ 11.511,04",nao,3.0
PED-100700,21/04/2025,Mesa Ajustável,Mobiliário,SP,,5,"R$ 2.376,00","4,9%","R$ 17.086,15",sim,2.0
PED-100701,25/05/2024,Headset,Áudio,BA,Loja Física,4,"R$ 324,78","12,4%","R$ 1.441,61",sim,4.0
PED-100702,25/11/2024,Cadeira Ergo,Mobiliário,RS,Marketplace,4,"R$ 1.970,27","3,8%","R$ 7.117,91",sim,2.0
PED-100703,20/03/2024,Mouse Sem Fio,Periféricos,SP,E-commerce,1,"R$ 177,25","1,3%","R$ 215,02",sim,1.0
PED-100704,28/09/2024,Headset,Áudio,SP,Televendas,5,"R$ 351,94","3,4%","R$ 1.551,41",sim,1.0
PED-100705,22/01/2024,Notebook Pro,Computadores,RJ,Marketplace,2,"R$ 7.904,12","1,6%","R$ 15.559,43",sim,5.0
PED-100706,23/09/2025,Notebook Pro,Computadores,RJ,Televendas,1,"R$ 6.577,52","7,6%","R$ 6.495,15",nao,3.0
PED-100707,18/11/2024,Webcam HD,Áudio,SP,Loja Física,5,"R$ 298,38","1,4%","R$ 1.380,56",sim,3.0
PED-100708,22/06/2025,Notebook Pro,Computadores,SC,Marketplace,2,"R$ 7.338,92","6,3%","R$ 19.418,63",sim,5.0
PED-100709,19/03/2024,Webcam HD,Áudio,BA,Televendas,3,"R$ 291,91","0,0%","R$ 1.075,93",sim,2.0
PED-100710,17/04/2024,Cadeira Ergo,Mobiliário,SP,Loja Física,2,"R$ 1.829,49","10,3%","R$ 4.198,28",sim,5.0
PED-100711,22/04/2024,Teclado Mecânico,Periféricos,BA,Loja Física,2,"R$ 362,48","8,1%","R$ 852,29",sim,3.0
PED-100712,30/12/2024,Mouse Sem Fio,Periféricos,SP,Loja Física,4,"R$ 188,71","14,1%","R$ 678,71",sim,5.0
PED-100713,04/07/2025,"Monitor 27""",Periféricos,SP,E-commerce,2,"R$ 1.363,99","7,6%","R$ 3.248,27",nao,
PED-100714,23/01/2025,Mesa Ajustável,Mobiliário,SP,Marketplace,4,"R$ 2.189,06","8,5%","R$ 9.553,30",sim,3.0
PED-100715,05/11/2024,Mouse Sem Fio,Periféricos,PR,Loja Física,5,"R$ 189,96","3,4%","R$ 861,49",nao,3.0
PED-100716,25/08/2025,Mouse Sem Fio,Periféricos,RJ,Marketplace,4,"R$ 180,31","7,2%","R$ 777,04",sim,2.0
PED-100717,27/04/2024,Notebook Pro,Computadores,GO,E-commerce,2,"R$ 6.829,51","7,8%","R$ 16.102,79",nao,1.0
PED-100718,15/04/2024,Cadeira Ergo,Mobiliário,RS,E-commerce,6,"R$ 1.783,62","9,7%","R$ 12.361,33",nao,5.0
PED-100719,04/03/2025,Webcam HD,Áudio,MG,Marketplace,2,"R$ 292,78","9,0%","R$ 776,70",sim,5.0
PED-100720,30/06/2025,Mesa Ajustável,Mobiliário,SP,E-commerce,1,"R$ 2.446,33","10,6%","R$ 3.086,39",sim,3.0
PED-100721,19/06/2024,Cadeira Ergo,Mobiliário,CE,Televendas,2,"R$ 1.910,59","8,8%","R$ 4.179,61",sim,1.0
PED-100722,15/06/2024,Headset,Áudio,MG,Loja Física,1,"R$ 307,49","9,3%","R$ 334,46",sim,5.0
PED-100723,03/12/2024,Webcam HD,Áudio,RJ,E-commerce,1,"R$ 278,07","3,7%","R$ 280,36",sim,2.0
PED-100724,13/05/2025,Webcam HD,Áudio,SC,E-commerce,4,"R$ 306,13","6,1%","R$ 1.719,83",sim,2.0
PED-100725,30/06/2024,Mesa Ajustável,Mobiliário,SP,E-commerce,3,"R$ 2.240,47","5,4%","R$ 7.620,07",sim,2.0
PED-100726,11/06/2025,Webcam HD,Áudio,SP,Loja Física,2,"R$ 283,17","8,4%","R$ 732,12",sim,3.0
PED-100727,26/11/2024,Cadeira Ergo,Mobiliário,RS,E-commerce,2,"R$ 1.907,33","3,9%","R$ 3.441,82",sim,1.0
PED-100728,27/03/2025,"Monitor 27""",Periféricos,CE,Televendas,1,"R$ 1.513,15","8,9%","R$ 2.009,20",sim,3.0
PED-100729,06/02/2025,Notebook Pro,Computadores,SP,Loja Física,2,"R$ 6.840,86","19,1%","R$ 14.846,70",sim,5.0
PED-100730,03/11/2024,Mouse Sem Fio,Periféricos,SP,E-commerce,3,"R$ 177,75","6,4%","R$ 468,72",sim,3.0
PED-100731,09/12/2024,Teclado Mecânico,Periféricos,SP,Loja Física,3,"R$ 434,83","0,0%","R$ 1.365,33",sim,2.0
PED-100732,28/09/2025,Headset,Áudio,SC,Marketplace,2,"R$ 344,83","5,4%","R$ 696,88",nao,3.0
PED-100733,10/09/2024,Notebook Pro,Computadores,RS,E-commerce,2,"R$ 6.541,15","0,4%","R$ 11.895,46",sim,1.0
PED-100734,27/08/2025,Mouse Sem Fio,Periféricos,RJ,Marketplace,1,"R$ 188,79","17,5%","R$ 180,87",sim,5.0
PED-100735,21/05/2025,Mesa Ajustável,Mobiliário,PE,Loja Física,3,"R$ 2.394,23","14,7%","R$ 9.158,67",nao,4.0
PED-100736,26/04/2024,Mesa Ajustável,Mobiliário,MG,E-commerce,1,"R$ 2.335,98","4,5%","R$ 2.852,07",sim,5.0
PED-100737,12/07/2025,"Monitor 27""",Periféricos,PE,Loja Física,2,"R$ 1.355,73","7,8%","R$ 3.219,24",sim,5.0
PED-100738,02/09/2024,Headset,Áudio,MG,E-commerce,4,"R$ 310,62","2,7%","R$ 1.103,94",sim,4.0
PED-100739,24/04/2024,Mesa Ajustável,Mobiliário,SP,Marketplace,2,"R$ 2.460,57","5,4%","R$ 5.954,44",sim,5.0
PED-100740,10/06/2024,"Monitor 27""",Periféricos,SP,E-commerce,2,"R$ 1.538,16","11,3%","R$ 3.270,94",sim,5.0
PED-100741,28/03/2024,Teclado Mecânico,Periféricos,SC,Loja Física,1,"R$ 435,78","1,4%","R$ 528,03",sim,
PED-100742,05/08/2024,Teclado Mecânico,Periféricos,RJ,Televendas,1,"R$ 429,55","9,5%","R$ 223,19",nao,5.0
PED-100743,13/03/2024,Cadeira Ergo,Mobiliário,SC,Loja Física,1,"R$ 1.803,72","11,4%","R$ 1.962,75",sim,3.0
PED-100744,14/12/2024,Cadeira Ergo,Mobiliário,RS,Televendas,1,"R$ 1.864,83","6,4%","R$ 1.827,04",nao,5.0
PED-100745,18/09/2025,Notebook Pro,Computadores,SP,Televendas,5,"R$ 6.198,79","19,3%","R$ 26.731,42",sim,4.0
PED-100746,09/09/2025,Webcam HD,Áudio,RJ,Marketplace,1,"R$ 308,81","5,0%","R$ 313,63",sim,4.0
PED-100747,25/08/2025,Mouse Sem Fio,Periféricos,CE,Marketplace,1,"R$ 183,82","2,7%","R$ 207,48",nao,3.0
PED-100748,04/06/2024,Cadeira Ergo,Mobiliário,RJ,Marketplace,3,"R$ 1.931,58","8,9%","R$ 6.325,63",sim,5.0
PED-100749,27/05/2024,Notebook Pro,Computadores,RS,Marketplace,3,"R$ 7.374,77","5,1%","R$ 26.595,58",nao,3.0
PED-100750,10/03/2025,Teclado Mecânico,Periféricos,SP,Marketplace,2,"R$ 399,02","6,7%","R$ 1.084,91",sim,
PED-100751,12/09/2025,Cadeira Ergo,Mobiliário,BA,E-commerce,1,"R$ 1.858,82","6,0%","R$ 1.866,15",sim,4.0
PED-100752,12/06/2025,"Monitor 27""",Periféricos,SP,Loja Física,1,"R$ 1.564,73","0,0%","R$ 2.209,27",sim,4.0
PED-100753,13/05/2024,Webcam HD,Áudio,RJ,Televendas,3,"R$ 285,02","4,2%","R$ 1.037,44",sim,2.0
PED-100754,16/04/2025,Notebook Pro,Computadores,SP,Loja Física,4,"R$ 6.262,98","5,5%","R$ 35.809,84",sim,3.0
PED-100755,20/11/2024,Cadeira Ergo,Mobiliário,RJ,Televendas,5,"R$ 2.180,29","15,8%","R$ 8.622,92",sim,1.0
PED-100756,10/10/2024,Notebook Pro,Computadores,RS,E-commerce,3,"R$ 6.834,89","3,6%","R$ 17.631,20",sim,1.0
PED-100757,14/11/2024,Headset,Áudio,RS,Marketplace,2,"R$ 364,81","4,7%","R$ 653,06",nao,5.0
PED-100758,15/12/2024,Notebook Pro,Computadores,PR,E-commerce,1,"R$ 7.120,56","2,4%","R$ 7.275,54",sim,1.0
PED-100759,08/08/2025,"Monitor 27""",Periféricos,RJ,E-commerce,5,"R$ 1.339,11","0,0%","R$ 7.768,14",sim,1.0
PED-100760,22/05/2025,Mouse Sem Fio,Periféricos,SP,E-commerce,1,"R$ 191,16","0,5%","R$ 284,34",sim,5.0
PED-100761,26/01/2024,"Monitor 27""",Periféricos,BA,Marketplace,1,"R$ 1.411,41","2,8%","R$ 1.371,27",sim,3.0
PED-100762,03/05/2025,Teclado Mecânico,Periféricos,RJ,E-commerce,1,"R$ 414,85","15,8%","R$ 522,25",sim,
PED-100763,20/07/2024,Headset,Áudio,MG,E-commerce,4,"R$ 338,30","5,6%","R$ 1.399,38",sim,3.0
PED-100764,04/08/2024,Teclado Mecânico,Periféricos,MG,Televendas,2,"R$ 427,03","8,6%","R$ 448,04",sim,4.0
PED-100765,18/01/2025,Teclado Mecânico,Periféricos,SC,Marketplace,5,"R$ 379,93","5,7%","R$ 2.135,04",sim,4.0
PED-100766,21/09/2025,Headset,Áudio,MG,Marketplace,3,"R$ 326,02","13,1%","R$ 908,42",sim,4.0
PED-100767,12/02/2024,"Monitor 27""",Periféricos,SP,Marketplace,3,"R$ 1.313,92","9,9%","R$ 4.005,96",sim,3.0
PED-100768,24/11/2024,Mouse Sem Fio,Periféricos,SP,Televendas,2,"R$ 176,81","0,3%","R$ 331,09",sim,5.0
PED-100769,31/05/2024,Webcam HD,Áudio,SC,Televendas,4,"R$ 274,36","10,9%","R$ 1.238,97",nao,2.0
PED-100770,07/08/2025,Headset,Áudio,PR,Televendas,1,"R$ 368,73","0,0%","R$ 427,93",sim,5.0
PED-100771,24/10/2024,Headset,Áudio,SP,E-commerce,1,"R$ 360,38","13,8%","R$ 277,28",sim,4.0
PED-100772,01/07/2025,Webcam HD,Áudio,SP,Loja Física,1,"R$ 281,63","7,7%","R$ 334,87",sim,5.0
PED-100773,17/07/2025,Cadeira Ergo,Mobiliário,SP,Televendas,2,"R$ 2.153,08","18,4%","R$ 4.524,09",sim,4.0
PED-100774,05/03/2024,Webcam HD,Áudio,SP,Loja Física,1,"R$ 269,62","10,5%","R$ 296,37",sim,5.0
PED-100775,02/05/2025,Webcam HD,Áudio,MG,Marketplace,1,"R$ 283,43","6,1%","R$ 397,95",sim,5.0
PED-100776,20/05/2025,Headset,Áudio,RS,Marketplace,1,"R$ 358,39","2,9%","R$ 520,44",sim,2.0
PED-100777,14/06/2025,Headset,Áudio,RJ,E-commerce,1,"R$ 318,48","14,4%","R$ 384,80",sim,5.0
PED-100778,24/09/2025,Teclado Mecânico,Periféricos,RS,E-commerce,6,"R$ 418,67","4,4%","R$ 2.567,02",nao,3.0
PED-100779,02/05/2025,Webcam HD,Áudio,SP,Televendas,3,"R$ 294,78","1,6%","R$ 1.300,69",nao,5.0
PED-100780,17/06/2025,Notebook Pro,Computadores,RS,Televendas,1,"R$ 6.696,08","12,3%","R$ 8.291,36",sim,3.0
PED-100781,28/03/2025,Webcam HD,Áudio,SP,E-commerce,3,"R$ 279,94","11,0%","R$ 1.088,64",nao,5.0
PED-100782,08/07/2024,Mouse Sem Fio,Periféricos,MG,Loja Física,1,"R$ 162,99","11,2%","R$ 980.000,00",sim,4.0
PED-100783,27/06/2025,Webcam HD,Áudio,SP,Marketplace,1,"R$ 287,60","11,7%","R$ 358,51",sim,5.0
PED-100784,24/03/2025,Mouse Sem Fio,Periféricos,RJ,Marketplace,2,"R$ 189,44","14,8%","R$ 470,37",nao,2.0
PED-100785,12/03/2025,"Monitor 27""",Periféricos,GO,Televendas,4,"R$ 1.356,88","11,9%","R$ 6.968,95",sim,3.0
PED-100786,14/09/2025,Teclado Mecânico,Periféricos,BA,Televendas,5,"R$ 383,97","6,7%","R$ 1.914,67",sim,3.0
PED-100787,15/04/2025,Notebook Pro,Computadores,SP,Televendas,2,"R$ 6.789,64","7,2%","R$ 19.067,12",nao,2.0
PED-100788,04/08/2024,"Monitor 27""",Periféricos,PE,Televendas,4,"R$ 1.544,26","8,3%","R$ 3.252,94",sim,2.0
PED-100789,12/07/2024,Teclado Mecânico,Periféricos,PR,Televendas,3,"R$ 378,88","7,0%","R$ 1.158,61",sim,4.0
PED-100790,28/07/2024,"Monitor 27""",Periféricos,SP,Televendas,1,"R$ 1.430,49","0,2%","R$ 1.564,38",sim,5.0
PED-100791,17/04/2024,Mesa Ajustável,Mobiliário,SP,Marketplace,1,"R$ 2.270,99","2,1%","R$ 2.843,42",nao,2.0
PED-100792,21/02/2024,Webcam HD,Áudio,PE,Marketplace,1,"R$ 277,34","6,2%","R$ 293,44",sim,1.0
PED-100793,29/04/2025,Cadeira Ergo,Mobiliário,PR,Televendas,1,"R$ 1.750,63","12,7%","R$ 2.312,77",nao,4.0
PED-100794,16/05/2025,Webcam HD,Áudio,BA,E-commerce,3,"R$ 279,81","4,6%","R$ 1.196,96",nao,4.0
PED-100795,16/04/2024,Mesa Ajustável,Mobiliário,PR,Televendas,1,"R$ 2.218,81","10,7%","R$ 2.533,93",sim,4.0
PED-100796,09/09/2024,Headset,Áudio,RJ,Loja Física,4,"R$ 320,72","4,9%","R$ 1.114,20",nao,1.0
PED-100797,11/08/2025,Headset,Áudio,SP,Loja Física,4,"R$ 330,25","6,2%","R$ 1.438,51",sim,5.0
PED-100798,19/06/2025,Cadeira Ergo,Mobiliário,RJ,Loja Física,1,"R$ 1.933,79","0,0%","R$ 2.730,36",sim,4.0
PED-100799,16/01/2025,Webcam HD,Áudio,SP,Marketplace,1,"R$ 307,75","6,2%","R$ 344,06",nao,3.0
PED-100800,13/09/2025,Mouse Sem Fio,Periféricos,MG,Marketplace,2,"R$ 191,61","8,7%","R$ 373,82",sim,4.0
PED-100801,29/07/2024,Cadeira Ergo,Mobiliário,SP,E-commerce,1,"R$ 1.963,76","7,8%","R$ 1.984,49",sim,3.0
PED-100802,24/06/2025,Notebook Pro,Computadores,SP,Marketplace,3,"R$ 6.937,09","14,5%","R$ 25.132,89",nao,1.0
PED-100803,22/08/2025,Mesa Ajustável,Mobiliário,RJ,Marketplace,1,"R$ 2.337,61","1,9%","R$ 2.662,40",nao,5.0
PED-100804,14/01/2025,Headset,Áudio,BA,Televendas,1,"R$ 349,28","0,0%","R$ 416,35",nao,2.0
PED-100805,09/04/2024,Cadeira Ergo,Mobiliário,SP,Televendas,4,"R$ 2.070,28","0,0%","R$ 10.587,92",sim,1.0
PED-100806,07/07/2024,Webcam HD,Áudio,PR,E-commerce,2,"R$ 283,17","0,7%","R$ 616,36",nao,5.0
PED-100807,25/11/2024,Webcam HD,Áudio,SP,Televendas,2,"R$ 288,29","7,8%","R$ 498,92",sim,4.0
PED-100808,27/06/2024,"Monitor 27""",Periféricos,RJ,Loja Física,1,"R$ 1.208,75","10,6%","R$ 1.295,95",sim,1.0
PED-100809,28/02/2024,Cadeira Ergo,Mobiliário,MG,Marketplace,3,"R$ 2.032,13","7,3%","R$ 6.376,25",nao,1.0
PED-100810,19/04/2024,Cadeira Ergo,Mobiliário,RJ,Loja Física,4,"R$ 1.845,38","12,6%","R$ 8.251,65",sim,3.0
PED-100811,09/09/2025,Cadeira Ergo,Mobiliário,SP,Televendas,3,"R$ 1.908,16","0,0%","R$ 6.116,65",sim,5.0
PED-100812,01/09/2024,Mesa Ajustável,Mobiliário,SP,Marketplace,5,"R$ 2.178,22","6,3%","R$ 9.322,90",nao,4.0
PED-100813,03/01/2025,"Monitor 27""",Periféricos,SP,Loja Física,3,"R$ 1.306,28","3,1%","R$ 4.526,00",sim,5.0
PED-100814,07/10/2024,Webcam HD,Áudio,RJ,Marketplace,1,"R$ 321,60","6,0%","R$ 269,82",sim,2.0
PED-100815,29/05/2025,Headset,Áudio,RJ,Loja Física,3,"R$ 365,20","7,0%","R$ 1.523,63",sim,4.0
PED-100816,05/03/2024,Headset,Áudio,PR,Marketplace,2,"R$ 330,23","10,8%","R$ 723,99",nao,4.0
PED-100817,29/06/2024,Cadeira Ergo,Mobiliário,MG,Loja Física,1,"R$ 1.780,52","8,5%","R$ 1.953,13",nao,4.0
PED-100818,09/01/2025,Headset,Áudio,PR,Loja Física,5,"R$ 320,94","3,0%","R$ 1.855,03",nao,3.0
PED-100819,28/05/2025,Mouse Sem Fio,Periféricos,GO,Televendas,1,"R$ 172,44","3,2%","R$ 249,69",sim,4.0
PED-100820,22/10/2024,Notebook Pro,Computadores,SP,E-commerce,4,"R$ 7.497,26","5,4%","R$ 25.320,74",sim,2.0
PED-100821,25/03/2025,Notebook Pro,Computadores,SP,Televendas,3,"R$ 6.747,51","7,3%","R$ 27.343,96",sim,1.0
PED-100822,27/05/2025,Notebook Pro,Computadores,SC,Marketplace,3,"R$ 6.268,66","8,1%","R$ 25.832,57",nao,3.0
PED-100823,15/02/2025,Notebook Pro,Computadores,SP,Marketplace,2,"R$ 6.746,47","5,0%","R$ 17.186,55",sim,1.0
PED-100824,08/06/2025,"Monitor 27""",Periféricos,MG,E-commerce,2,"R$ 1.418,46","0,0%","R$ 4.005,51",nao,3.0
PED-100825,31/08/2025,Notebook Pro,Computadores,MG,Loja Física,4,"R$ 7.080,60","12,6%","R$ 28.719,65",sim,4.0
PED-100826,19/05/2024,Mesa Ajustável,Mobiliário,RJ,Marketplace,3,"R$ 2.387,60","9,1%","R$ 8.248,45",nao,4.0
PED-100827,04/10/2024,Teclado Mecânico,Periféricos,PE,Loja Física,4,"R$ 464,07","11,0%","R$ 1.474,38",sim,3.0
PED-100828,24/05/2024,"Monitor 27""",Periféricos,BA,Loja Física,3,"R$ 1.377,15","8,3%","R$ 4.799,62",sim,4.0
PED-100829,22/09/2024,"Monitor 27""",Periféricos,SP,E-commerce,2,"R$ 1.386,79","9,7%","R$ 2.287,28",sim,3.0
PED-100830,02/01/2024,"Monitor 27""",Periféricos,SP,Loja Física,1,"R$ 1.534,70","15,4%","R$ 1.297,80",nao,3.0
PED-100831,18/03/2025,Mesa Ajustável,Mobiliário,SP,Televendas,4,"R$ 2.301,86","11,4%","R$ 11.888,77",nao,1.0
PED-100832,30/05/2024,Cadeira Ergo,Mobiliário,SP,E-commerce,2,"R$ 2.008,39","5,7%","R$ 4.800,06",nao,1.0
PED-100833,18/06/2025,Notebook Pro,Computadores,RS,Marketplace,1,"R$ 6.550,58","9,2%","R$ 8.399,87",sim,4.0
PED-100834,05/04/2025,Mouse Sem Fio,Periféricos,GO,Marketplace,1,"R$ 168,88","10,3%","R$ 229,21",sim,4.0
PED-100835,02/08/2024,Teclado Mecânico,Periféricos,SP,E-commerce,2,"R$ 491,12","6,6%","R$ 526,76",sim,4.0
PED-100836,17/10/2024,"Monitor 27""",Periféricos,MG,E-commerce,3,"R$ 1.366,23","9,2%","R$ 3.322,26",sim,4.0
PED-100837,04/03/2025,Mouse Sem Fio,Periféricos,MG,Televendas,3,"R$ 169,56","11,4%","R$ 657,01",nao,5.0
PED-100838,23/09/2024,Cadeira Ergo,Mobiliário,SP,E-commerce,1,"R$ 1.794,88","8,9%","R$ 1.493,09",sim,1.0
PED-100839,13/05/2024,Mouse Sem Fio,Periféricos,PR,Televendas,5,"R$ 173,42","11,0%","R$ 977,60",nao,2.0
